iter	Accuracy	Logloss
0	0.5397862233	0.6925124754
1	0.5470308789	0.6918655905
2	0.556888361	0.6908579523
3	0.5532066508	0.6902368282
4	0.5548693587	0.6895725026
5	0.5580760095	0.6890219186
6	0.5562945368	0.6884902686
7	0.5579572447	0.6879010425
8	0.5581947743	0.6873502853
9	0.5572446556	0.6868230909
10	0.5596199525	0.6861368801
11	0.5614014252	0.6856613569
12	0.5655581948	0.6851060531
13	0.5675771971	0.6847329194
14	0.570783848	0.6841736228
15	0.5726840855	0.6835260742
16	0.5771971496	0.682844688
17	0.5793349169	0.6823671075
18	0.583847981	0.6816655812
19	0.58847981	0.6807101974
20	0.593111639	0.6799544638
21	0.5903800475	0.6793636088
22	0.5927553444	0.6786103911
23	0.5934679335	0.6781250077
24	0.5986935867	0.6775757261
25	0.5998812352	0.6770142317
26	0.6002375297	0.6764012932
27	0.6045130641	0.6758130637
28	0.6016627078	0.6752965652
29	0.6028503563	0.6748132398
30	0.6055819477	0.6744025438
31	0.6060570071	0.6739771193
32	0.6086698337	0.6732424693
33	0.6110451306	0.6726470281
34	0.6147268409	0.6720371651
35	0.6180522565	0.6717545185
36	0.6204275534	0.6713433586
37	0.6218527316	0.6708940019
38	0.6233966746	0.6704904083
39	0.6258907363	0.670120964
40	0.6267220903	0.6696678507
41	0.6315914489	0.669124675
42	0.6311163895	0.6686402345
43	0.6332541568	0.668120666
44	0.6311163895	0.6677439572
45	0.6346793349	0.667353181
46	0.635391924	0.6670477886
47	0.636935867	0.6667377043
48	0.6362232779	0.6662146611
49	0.6412114014	0.6658638
50	0.640736342	0.6653437907
51	0.6433491686	0.664523946
52	0.6445368171	0.6640753135
53	0.6452494062	0.6636709662
54	0.6464370546	0.6632000139
55	0.6466745843	0.6627074856
56	0.6488123515	0.6624638475
57	0.65	0.6620341228
58	0.653087886	0.6615767438
59	0.6538004751	0.6613203235
60	0.6526128266	0.6608576856
61	0.6545130641	0.6604342809
62	0.6549881235	0.6600064252
63	0.6558194774	0.6595146916
64	0.6574821853	0.6590069655
65	0.6576009501	0.658556536
66	0.6572446556	0.65822296
67	0.6574821853	0.6575844992
68	0.6605700713	0.656942603
69	0.6581947743	0.6565790596
70	0.6590261283	0.6560935385
71	0.6622327791	0.6554492903
72	0.6633016627	0.654925742
73	0.6631828979	0.6545126488
74	0.666152019	0.6538982179
75	0.6691211401	0.6534125219
76	0.6729216152	0.6528975599
77	0.6747030879	0.6524994961
78	0.6741092637	0.6519188391
79	0.6743467933	0.6516528965
80	0.6747030879	0.6512605319
81	0.6748218527	0.6508353491
82	0.6771971496	0.65021447
83	0.6777909739	0.6496656285
84	0.6789786223	0.6493525189
85	0.6777909739	0.6490806006
86	0.6801662708	0.6486797875
87	0.6802850356	0.6484480298
88	0.6814726841	0.647942589
89	0.6839667458	0.6476596144
90	0.6839667458	0.6471144462
91	0.6847980998	0.6466029651
92	0.6856294537	0.6463215431
93	0.6859857482	0.6459710229
94	0.6856294537	0.6456247605
95	0.6866983373	0.6453233927
96	0.6858669834	0.6447342474
97	0.6863420428	0.6443767485
98	0.6875296912	0.6441405681
99	0.6878859857	0.6437404529
100	0.689192399	0.6432024645
101	0.689192399	0.6427712064
102	0.68847981	0.6424074506
103	0.6899049881	0.6420694027
104	0.6925178147	0.6416144827
105	0.6934679335	0.6413404476
106	0.6939429929	0.6409900686
107	0.6944180523	0.6406177267
108	0.6976247031	0.6401284739
109	0.6970308789	0.6397153009
110	0.6990498812	0.6394558658
111	0.7017814727	0.6390904953
112	0.7039192399	0.6386533564
113	0.7045130641	0.6383477758
114	0.7048693587	0.6379378841
115	0.7047505938	0.6377011612
116	0.706175772	0.6372886181
117	0.7067695962	0.6369658607
118	0.707719715	0.6366081307
119	0.710807601	0.6361292883
120	0.7117577197	0.6357430442
121	0.7125890736	0.6354738425
122	0.7119952494	0.6351215699
123	0.7111638955	0.6347681025
124	0.7128266033	0.6344636589
125	0.7148456057	0.6339447815
126	0.7159144893	0.6336602974
127	0.7167458432	0.6331082314
128	0.7163895487	0.6327624686
129	0.7179334917	0.6322097721
130	0.7190023753	0.6318579207
131	0.7213776722	0.6312256101
132	0.7219714964	0.6309413558
133	0.7224465558	0.6304024269
134	0.7247030879	0.6298947506
135	0.7249406176	0.6295467
136	0.7257719715	0.6291227738
137	0.72695962	0.6288192977
138	0.7267220903	0.6285226446
139	0.7264845606	0.6282987892
140	0.7266033254	0.627869141
141	0.7281472684	0.6273532648
142	0.7288598575	0.6270641956
143	0.7306413302	0.6267023298
144	0.7296912114	0.6264894871
145	0.7304038005	0.6261895859
146	0.7306413302	0.6260237735
147	0.7313539192	0.6255772725
148	0.7321852732	0.6251598226
149	0.732304038	0.6248103225
150	0.7328978622	0.6242168025
151	0.7327790974	0.6238422375
152	0.7327790974	0.6234583255
153	0.7344418052	0.6228970754
154	0.7358669834	0.6224396779
155	0.7388361045	0.6217548976
156	0.7390736342	0.6212597369
157	0.7389548694	0.6208542363
158	0.7387173397	0.6204995574
159	0.7380047506	0.620264664
160	0.7389548694	0.6200456325
161	0.7376484561	0.6195965661
162	0.7396674584	0.6192586402
163	0.7402612827	0.6190013155
164	0.7402612827	0.6187013401
165	0.7421615202	0.6182449341
166	0.7427553444	0.6179067263
167	0.7418052257	0.6176810872
168	0.7425178147	0.6174238841
169	0.7429928741	0.6170235539
170	0.743111639	0.6167230065
171	0.7425178147	0.6163839239
172	0.7433491686	0.6161123142
173	0.7448931116	0.6158705175
174	0.7456057007	0.6156180605
175	0.7454869359	0.6152792152
176	0.745368171	0.6147850486
177	0.7465558195	0.6144756702
178	0.7479809976	0.6142333435
179	0.7486935867	0.6136422673
180	0.7495249406	0.6131641325
181	0.75	0.6127514961
182	0.7511876485	0.6122728945
183	0.7509501188	0.6116400972
184	0.7522565321	0.6109698894
185	0.751543943	0.6105658147
186	0.7511876485	0.610204505
187	0.7521377672	0.6095367637
188	0.7535629454	0.6090966925
189	0.7543942993	0.6088073445
190	0.7555819477	0.6082621639
191	0.7574821853	0.6078873208
192	0.757719715	0.60757633
193	0.7585510689	0.6070409839
194	0.7589073634	0.6065626948
195	0.7591448931	0.6062326849
196	0.7593824228	0.6059126425
197	0.7604513064	0.6054276241
198	0.7619952494	0.604917421
199	0.7623515439	0.6045887805
200	0.7623515439	0.6042711074
201	0.7623515439	0.6039738698
202	0.7627078385	0.6035698526
203	0.7650831354	0.6031036735
204	0.766152019	0.6026946376
205	0.7657957245	0.6022924179
206	0.7671021378	0.6019268205
207	0.7667458432	0.6016014914
208	0.7662707838	0.6012541964
209	0.7674584323	0.600854809
210	0.7679334917	0.6003196759
211	0.7680522565	0.5997713745
212	0.7682897862	0.5993824442
213	0.7700712589	0.5989233523
214	0.7701900238	0.5986588177
215	0.7705463183	0.5983449317
216	0.7718527316	0.5977624914
217	0.7731591449	0.5974046008
218	0.7751781473	0.5970497061
219	0.7748218527	0.596349951
220	0.7737529691	0.5959779406
221	0.774584323	0.5957215918
222	0.7756532067	0.5954165456
