iter	Passed	Remaining
0	60	60233
1	67	33928
2	88	29290
3	101	25257
4	106	21175
5	114	18981
6	120	17160
7	126	15696
8	135	14873
9	140	13957
10	145	13067
11	150	12379
12	154	11737
13	159	11219
14	164	10792
15	168	10389
16	173	10032
17	178	9711
18	182	9444
19	187	9194
20	192	8953
21	197	8776
22	202	8590
23	209	8524
24	214	8351
25	218	8174
26	222	8030
27	227	7886
28	231	7747
29	235	7620
30	239	7500
31	245	7413
32	249	7304
33	253	7203
34	258	7126
35	263	7045
36	267	6963
37	272	6887
38	279	6878
39	284	6838
40	291	6815
41	298	6804
42	307	6838
43	313	6809
44	320	6803
45	328	6816
46	336	6823
47	344	6836
48	353	6864
49	362	6888
50	371	6917
51	377	6887
52	385	6882
53	392	6874
54	399	6862
55	405	6836
56	411	6801
57	419	6807
58	427	6818
59	433	6798
60	441	6798
61	448	6782
62	456	6790
63	462	6766
64	469	6760
65	476	6746
66	483	6738
67	490	6725
68	496	6703
69	507	6742
70	519	6803
71	533	6880
72	546	6934
73	559	7002
74	574	7083
75	585	7117
76	591	7091
77	604	7149
78	610	7119
79	618	7110
80	625	7092
81	633	7090
82	640	7081
83	648	7070
84	655	7051
85	662	7036
86	669	7026
87	675	7002
88	683	7001
89	690	6978
90	700	6992
91	708	6996
92	717	7002
93	726	6999
94	735	7009
95	741	6983
96	749	6980
97	755	6953
98	761	6930
99	769	6921
100	775	6906
101	783	6894
102	789	6872
103	797	6869
104	804	6854
105	811	6841
106	817	6822
107	821	6786
108	826	6755
109	832	6733
110	836	6699
111	841	6669
112	845	6639
113	850	6608
114	855	6580
115	860	6554
116	864	6526
117	869	6497
118	874	6471
119	879	6449
120	883	6418
121	888	6391
122	893	6369
123	898	6347
124	902	6318
125	907	6295
126	913	6276
127	917	6251
128	922	6226
129	927	6206
130	931	6178
131	935	6153
132	941	6134
133	945	6110
134	949	6083
135	953	6060
136	960	6052
137	964	6026
138	970	6009
139	975	5991
140	979	5969
141	984	5949
142	989	5932
143	994	5909
144	998	5887
145	1002	5865
146	1007	5845
147	1011	5821
148	1016	5803
149	1021	5786
150	1026	5771
151	1030	5750
152	1034	5728
153	1040	5716
154	1044	5695
155	1049	5677
156	1053	5658
157	1058	5640
158	1062	5621
159	1067	5602
160	1071	5585
161	1075	5565
162	1080	5547
163	1085	5535
164	1090	5517
165	1094	5497
166	1098	5480
167	1104	5470
168	1110	5460
169	1116	5451
170	1122	5441
171	1128	5431
172	1134	5423
173	1141	5416
174	1147	5408
175	1155	5409
176	1162	5404
177	1170	5407
178	1175	5389
179	1180	5376
180	1185	5365
181	1189	5347
182	1194	5331
183	1200	5322
184	1204	5306
185	1208	5289
186	1213	5273
187	1218	5261
188	1221	5243
189	1226	5228
190	1233	5222
191	1237	5207
192	1241	5190
193	1246	5176
194	1250	5162
195	1255	5148
196	1260	5137
197	1267	5134
198	1271	5119
199	1277	5108
200	1284	5105
201	1288	5090
202	1293	5080
203	1299	5069
204	1303	5055
205	1308	5043
206	1313	5033
207	1318	5020
208	1322	5005
209	1327	4992
210	1332	4982
211	1336	4967
212	1341	4955
213	1346	4945
214	1351	4933
215	1355	4919
216	1360	4907
217	1365	4899
218	1370	4886
219	1374	4872
220	1379	4860
221	1383	4848
222	1388	4837
223	1393	4828
224	1398	4815
225	1402	4803
226	1406	4789
227	1413	4786
228	1417	4773
229	1421	4760
230	1427	4753
231	1432	4741
232	1436	4729
233	1443	4725
234	1450	4721
235	1460	4727
236	1466	4719
237	1470	4708
238	1476	4701
239	1480	4689
240	1486	4680
241	1491	4671
242	1495	4659
243	1499	4647
244	1504	4636
245	1508	4625
246	1513	4613
247	1518	4603
248	1524	4597
249	1528	4585
250	1533	4574
251	1537	4564
252	1543	4556
253	1547	4544
254	1551	4532
255	1557	4525
256	1561	4514
257	1566	4503
258	1570	4494
259	1575	4484
260	1580	4475
261	1585	4465
262	1589	4455
263	1593	4443
264	1598	4434
265	1603	4424
266	1608	4416
267	1612	4405
268	1617	4394
269	1622	4388
270	1627	4377
271	1631	4367
272	1636	4358
273	1642	4351
274	1646	4341
275	1651	4332
276	1656	4323
277	1660	4312
278	1664	4301
279	1670	4295
280	1674	4285
281	1679	4276
282	1685	4270
283	1689	4260
284	1694	4250
285	1700	4245
286	1705	4236
287	1709	4226
288	1713	4216
289	1719	4209
290	1723	4199
291	1728	4190
292	1733	4182
293	1738	4173
294	1742	4164
295	1747	4155
296	1752	4148
297	1756	4138
298	1760	4128
299	1767	4123
300	1771	4114
301	1776	4105
302	1781	4097
303	1785	4088
304	1790	4079
305	1794	4069
306	1799	4062
307	1804	4053
308	1808	4044
309	1814	4038
310	1818	4029
311	1822	4019
312	1828	4012
313	1833	4005
314	1837	3995
315	1841	3986
316	1846	3978
317	1850	3968
318	1854	3959
319	1858	3950
320	1863	3942
321	1868	3934
322	1873	3926
323	1879	3920
324	1883	3912
325	1888	3904
326	1893	3896
327	1898	3888
328	1902	3879
329	1906	3870
330	1912	3866
331	1917	3858
332	1922	3850
333	1929	3846
334	1933	3838
335	1938	3830
336	1944	3825
337	1948	3816
338	1953	3808
339	1957	3800
340	1962	3792
341	1966	3783
342	1971	3776
343	1976	3768
344	1980	3759
345	1984	3750
346	1988	3742
347	1994	3735
348	1998	3727
349	2002	3719
350	2008	3714
351	2013	3706
352	2017	3698
353	2022	3690
354	2026	3682
355	2031	3674
356	2035	3667
357	2041	3660
358	2045	3652
359	2049	3644
360	2054	3636
361	2059	3629
362	2063	3621
363	2068	3613
364	2073	3607
365	2078	3599
366	2082	3591
367	2086	3583
368	2092	3577
369	2096	3570
370	2101	3562
371	2105	3554
372	2109	3546
373	2113	3538
374	2118	3530
375	2123	3524
376	2127	3516
377	2132	3509
378	2139	3505
379	2143	3497
380	2149	3491
381	2155	3487
382	2160	3480
383	2165	3473
384	2169	3466
385	2174	3458
386	2178	3450
387	2183	3443
388	2188	3437
389	2192	3429
390	2197	3422
391	2204	3418
392	2208	3411
393	2213	3404
394	2219	3398
395	2223	3391
396	2227	3383
397	2231	3375
398	2236	3368
399	2241	3361
400	2245	3354
401	2251	3349
402	2255	3341
403	2260	3334
404	2263	3326
405	2269	3319
406	2273	3312
407	2278	3305
408	2284	3300
409	2288	3293
410	2292	3285
411	2296	3277
412	2302	3272
413	2306	3265
414	2311	3257
415	2317	3253
416	2322	3246
417	2327	3240
418	2333	3235
419	2337	3228
420	2342	3221
421	2347	3215
422	2351	3207
423	2355	3200
424	2360	3193
425	2366	3188
426	2370	3181
427	2375	3174
428	2380	3168
429	2384	3161
430	2389	3153
431	2393	3146
432	2398	3140
433	2402	3133
434	2407	3127
435	2413	3121
436	2417	3114
437	2421	3107
438	2425	3100
439	2431	3094
440	2435	3087
441	2441	3081
442	2445	3075
443	2450	3068
444	2455	3062
445	2459	3054
446	2464	3049
447	2469	3043
448	2474	3036
449	2479	3030
450	2484	3023
451	2489	3018
452	2493	3011
453	2497	3004
454	2502	2996
455	2506	2990
456	2512	2985
457	2516	2978
458	2521	2972
459	2526	2965
460	2530	2958
461	2534	2951
462	2539	2945
463	2544	2939
464	2548	2932
465	2554	2927
466	2560	2922
467	2567	2918
468	2574	2914
469	2580	2910
470	2587	2905
471	2594	2902
472	2598	2895
473	2604	2890
474	2610	2885
475	2615	2879
476	2622	2875
477	2626	2868
478	2630	2861
479	2636	2855
480	2641	2849
481	2645	2843
482	2651	2838
483	2656	2832
484	2660	2825
485	2665	2818
486	2670	2813
487	2675	2807
488	2679	2800
489	2686	2795
490	2692	2790
491	2696	2784
492	2702	2779
493	2708	2773
494	2712	2766
495	2717	2761
496	2722	2755
497	2727	2749
498	2732	2743
499	2737	2737
500	2741	2730
501	2746	2724
502	2751	2718
503	2756	2712
504	2761	2707
505	2769	2704
506	2774	2697
507	2778	2691
508	2782	2684
509	2788	2679
510	2792	2672
511	2798	2667
512	2803	2661
513	2807	2655
514	2815	2651
515	2821	2646
516	2825	2640
517	2832	2635
518	2837	2629
519	2841	2623
520	2847	2618
521	2853	2612
522	2857	2606
523	2863	2601
524	2869	2596
525	2873	2589
526	2879	2584
527	2883	2577
528	2887	2571
529	2892	2564
530	2896	2557
531	2901	2552
532	2907	2547
533	2916	2545
534	2922	2540
535	2931	2537
536	2937	2532
537	2942	2527
538	2947	2520
539	2951	2514
540	2955	2507
541	2961	2502
542	2967	2497
543	2971	2491
544	2977	2485
545	2982	2480
546	2987	2473
547	2992	2468
548	2997	2462
549	3002	2456
550	3007	2451
551	3012	2444
552	3016	2438
553	3020	2431
554	3025	2426
555	3031	2420
556	3035	2414
557	3040	2408
558	3045	2402
559	3050	2396
560	3057	2392
561	3063	2387
562	3071	2384
563	3080	2381
564	3085	2375
565	3094	2372
566	3100	2367
567	3107	2363
568	3114	2359
569	3120	2354
570	3126	2349
571	3132	2344
572	3139	2339
573	3145	2334
574	3150	2328
575	3161	2327
576	3172	2325
577	3179	2321
578	3186	2316
579	3193	2312
580	3199	2307
581	3206	2302
582	3212	2297
583	3219	2293
584	3227	2289
585	3236	2286
586	3247	2284
587	3255	2280
588	3262	2276
